Date,7 DAYS MA,14 DAYS MA,21 DAYS MA,7 DAYS STD DEV,RSI 7,RSI 14,RSI 21,MFI 7,MFI 14,MFI 21,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,Close
2018-07-03,-1.6237970253718284,-1.4701784936874192,-1.4051187401342697,0.21046892003389908,-0.6971010292777436,-1.0697515414767869,-1.3949328577829034,-0.21529442936291177,-0.4998676800642791,-0.5563994942353644,-0.5,0.0,0.0,-0.6666666666666666,-0.02663115845539281,-0.8666666666666667,0.0,-1.7307692307692308
2018-07-04,-1.650043744531933,-1.4971702220287342,-1.4227635966449554,-0.3979009955342482,-0.006713841786277706,-0.5148074793559106,-0.9090480388463521,0.1473046525514877,-0.3440513360707586,-0.3057579353987473,0.0,0.0,0.0,-0.6666666666666666,-0.02130492676431425,-0.8,0.0,-1.6025641025641026
2018-07-05,-1.6430446194225716,-1.5154549412276892,-1.433350510551367,-0.16681646338427372,-0.1325683122498668,-0.5962945976409615,-0.9724215079769787,0.5441115214468066,-0.2744900558251049,-0.3512108335341603,0.5,0.0,0.0,-0.6666666666666666,-0.015978695073235686,-0.7333333333333333,0.0,-1.6282051282051282
2018-07-06,-1.6272965879265087,-1.5354810622551165,-1.4474663957599154,-0.04131438476156458,-0.5288178164666104,-0.864882977737397,-1.1854462560176957,0.2520114597563372,-0.33734148898028404,-0.64407148094304,1.0,0.0,0.0,-0.6666666666666666,-0.010652463382157125,-0.6666666666666666,0.0,-1.7179487179487178
2018-07-09,-1.6272965879265087,-1.561602089682195,-1.4727573567585652,-0.04131438476156458,0.35828678540997744,-0.0889805949247146,-0.46917937878066635,0.8209276957736784,-0.20763074881557875,-0.23986804445538534,-1.0,0.0,0.0,-0.6666666666666666,0.005326231691078562,-0.4666666666666667,0.037037037037037035,-1.5
2018-07-10,-1.58180227471566,-1.572921201567263,-1.4804034612465289,0.13089732294175185,0.5046227991532235,0.05937928366520754,-0.3233294797788991,0.7675519763087861,0.2673323986812238,-0.092693030395037,-0.5,0.0,0.0,-0.6666666666666666,0.010652463382157125,-0.4,0.037037037037037035,-1.4487179487179487
2018-07-11,-1.5450568678915129,-1.565084893339139,-1.4856969181997346,0.5583188271444259,0.13958390787476183,-0.19014517526302713,-0.5222381567598416,0.2371473760726103,0.26802793665352087,-0.22122776031621608,0.0,0.0,0.0,-0.6666666666666666,0.015978695073235686,-0.3333333333333333,0.037037037037037035,-1.5256410256410255
2018-07-12,-1.5205599300087482,-1.5581192860252513,-1.4945193464550772,0.515759707684975,0.022157016211907445,-0.27092056673697096,-0.5870560979741043,0.21973077140167022,-0.029874307489256208,-0.30170076243268373,0.5,0.0,0.0,-0.6666666666666666,0.02130492676431425,-0.26666666666666666,0.037037037037037035,-1.5512820512820513
2018-07-13,-1.4960629921259836,-1.5589899869394874,-1.504518098477799,0.20529364890236623,0.022157016211907445,-0.27092056673697096,-0.5870560979741043,0.18324963503790384,0.2349408515777982,-0.20123203395333578,1.0,0.0,0.0,-0.6666666666666666,0.02663115845539281,-0.2,0.037037037037037035,-1.5512820512820513
2018-07-16,-1.4890638670166227,-1.5520243796255997,-1.5145168505005213,0.18441405164315414,0.022157016211907136,-0.27092056673697096,-0.5870560979741043,-0.11039336792604078,0.35702833674725665,-0.2721967953131467,-1.0,0.0,0.0,-0.6666666666666666,0.0426098535286285,0.0,0.07407407407407407,-1.5512820512820513
2018-07-17,-1.4785651793525805,-1.5389638659120601,-1.5245156025232434,0.09622049062111607,-0.6188184124367504,-0.6937594580240395,-0.9209745347674757,-0.21414592117730513,0.057289064788321485,-0.3734940792765605,-0.5,0.0,0.0,-0.6666666666666666,0.047936085219707054,0.06666666666666667,0.07407407407407407,-1.6794871794871795
2018-07-18,-1.4733158355205596,-1.5363517631693526,-1.54039597338286,-0.11879904792558128,-0.7202956543873029,-0.7698494210333828,-0.9832951949932933,-0.6511364612442806,0.1526716332293601,-0.4501986086202669,0.0,0.0,0.0,-0.6666666666666666,0.05326231691078562,0.13333333333333333,0.07407407407407407,-1.705128205128205
2018-07-19,-1.5013123359580052,-1.5276447540269926,-1.5574526680098564,0.2001007102682276,-0.3746548126955959,-0.5529352599123518,-0.8000618926946794,-0.6392340691549994,0.07791312235551115,-0.05344212019932112,0.5,0.0,0.0,-0.6666666666666666,0.05858854860186418,0.2,0.07407407407407407,-1.6538461538461537
2018-07-20,-1.5293088363954501,-1.523291249455813,-1.5615698011956831,-0.0600129183967758,0.22443709316253563,-0.12032596714962136,-0.41911722201046925,-0.283199745200253,-0.010921807388905677,0.12829616185618134,1.0,0.0,0.0,-0.6666666666666666,0.06391478029294274,0.26666666666666666,0.07407407407407407,-1.5384615384615385
2018-07-23,-1.5310586176727907,-1.5119721375707458,-1.5574526680098564,-0.09549863433977085,0.5193500395362808,0.12895397605526168,-0.18854498567458772,0.07557568276236501,0.21676091367801628,0.028524000901796156,-1.0,0.0,0.0,-0.6666666666666666,0.07989347536617843,0.4666666666666667,0.1111111111111111,-1.4615384615384615
2018-07-24,-1.5188101487314083,-1.4936874183717905,-1.553923696707719,0.19339782091009697,0.2789458658594857,-0.017039372540112015,-0.3011003535841851,0.02400777724047863,0.15842821546004154,0.23461525247907355,-0.5,0.0,0.0,-0.6666666666666666,0.085219707057257,0.5333333333333333,0.1111111111111111,-1.5
2018-07-25,-1.511811023622047,-1.4867218110579028,-1.5468657541034452,0.29170892130736015,0.11866013764652242,-0.11442342135499321,-0.37615612200378445,0.05485943730022585,-0.023100223620763822,0.352961254768863,0.0,0.0,0.0,-0.6666666666666666,0.09054593874833555,0.6,0.1111111111111111,-1.5256410256410255
